delay,,condition,text.started,text.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,,
0.4,,unexp,644.6082058,None,500,644.6082058,None,644.6082058,None,83,,
0.1,,unexp,653.8129418,None,600,653.8129418,None,653.8129418,None,84,,
0.7,,unexp,661.1556715,None,700,661.1556715,None,661.1556715,None,85,,
0.1,,unexp,666.652467,None,800,666.652467,None,666.652467,None,86,,
0.4,,unexp,672.2093731,None,900,672.2093731,None,672.2093731,None,87,,
0.4,,unexp,682.0393011,None,800,682.0393011,None,682.0393011,None,88,,
0.7,,unexp,692.3964507,None,220,692.3964507,None,692.3964507,None,89,,
0.1,,unexp,698.208167,None,300,698.208167,None,698.208167,None,90,,
0.7,,unexp,704.1147174,None,400,704.1147174,None,704.1147174,None,91,,
0.4,,unexp,711.8842704,None,,711.8842704,None,711.8842704,None,92,,
0.1,,unexp,715.836928,None,500,715.836928,None,715.836928,None,93,,
0.7,,unexp,722.2856934,None,800,722.2856934,None,722.2856934,None,94,,
0.1,,unexp,727.3828461,None,500,727.3828461,None,727.3828461,None,95,,
0.4,,unexp,732.3337847,None,300,732.3337847,None,732.3337847,None,96,,
